label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,0.0625,0.2821,0.4967,0.1781,0.9335,0.8929,146.9,2.04,365.28,40,watershed,40 IMG20260216081714 (1).jpg
10,0.2,0.5046,0.5536,0.4768,0.5082,0.9091,14.8,293.5625,498.6625,40,watershed,40 IMG20260216081714 (1).jpg
11,0.48,0.7818,0.9995,0.6151,0.7882,0.9458,4.5,344.6354166666667,836.6875,40,watershed,40 IMG20260216081714 (1).jpg
14,0.68,0.9305,1.1954,0.7347,0.7889,0.9158,4.6,396.56985294117646,472.1875,40,watershed,40 IMG20260216081714 (1).jpg
15,0.5075,0.8038,1.1286,0.61,0.8414,0.9227,3.0,416.76847290640393,495.51231527093597,40,watershed,40 IMG20260216081714 (1).jpg
16,1.7975,1.5128,1.9286,1.4014,0.687,0.7798,2.7,450.53685674547984,362.09179415855357,40,watershed,40 IMG20260216081714 (1).jpg
17,0.745,0.9739,1.1219,0.9504,0.5314,0.8514,2.1,495.98993288590606,1041.4530201342282,40,watershed,40 IMG20260216081714 (1).jpg
18,0.085,0.329,0.3715,0.3049,0.5712,0.8947,4.6,490.79411764705884,841.0882352941177,40,watershed,40 IMG20260216081714 (1).jpg
19,0.555,0.8406,1.0616,0.6778,0.7697,0.9407,1.1,501.9549549549549,847.6711711711712,40,watershed,40 IMG20260216081714 (1).jpg
20,0.215,0.5232,0.614,0.453,0.675,0.9773,5.6,502.09302325581393,304.25581395348837,40,watershed,40 IMG20260216081714 (1).jpg
21,0.6175,0.8867,1.1345,0.7009,0.7863,0.9251,4.1,506.5263157894737,1090.1255060728745,40,watershed,40 IMG20260216081714 (1).jpg
22,0.2375,0.5499,0.616,0.5126,0.5546,0.9314,18.9,516.6315789473684,1131.2315789473685,40,watershed,40 IMG20260216081714 (1).jpg
23,0.915,1.0794,1.1714,1.0151,0.4991,0.9433,2.3,549.8934426229508,1023.5081967213115,40,watershed,40 IMG20260216081714 (1).jpg
24,0.2625,0.5781,0.779,0.4326,0.8316,0.9545,7.5,554.0952380952381,1088.3238095238096,40,watershed,40 IMG20260216081714 (1).jpg
25,0.315,0.6333,0.7384,0.5839,0.6122,0.863,2.3,560.952380952381,807.1269841269841,40,watershed,40 IMG20260216081714 (1).jpg
26,0.3025,0.6206,0.6702,0.5864,0.4842,0.9528,2.7,564.6115702479339,700.5371900826447,40,watershed,40 IMG20260216081714 (1).jpg
27,0.08,0.3192,0.3603,0.3182,0.4694,0.9143,4.6,574.5,496.8125,40,watershed,40 IMG20260216081714 (1).jpg
28,0.2825,0.5997,0.7947,0.4577,0.8175,0.9496,5.1,576.0176991150443,506.6371681415929,40,watershed,40 IMG20260216081714 (1).jpg
29,0.09,0.3385,0.4332,0.2725,0.7773,0.878,11.2,578.0277777777778,491.75,40,watershed,40 IMG20260216081714 (1).jpg
30,0.18,0.4787,0.5889,0.3924,0.7456,0.9474,1.3,584.0833333333334,1010.4722222222222,40,watershed,40 IMG20260216081714 (1).jpg
31,0.335,0.6531,0.8443,0.5335,0.7751,0.8701,2.5,586.044776119403,1099.902985074627,40,watershed,40 IMG20260216081714 (1).jpg
32,0.555,0.8406,1.3481,0.5414,0.9158,0.9024,19.9,591.4504504504505,447.44144144144144,40,watershed,40 IMG20260216081714 (1).jpg
33,0.3,0.618,0.8756,0.459,0.8516,0.916,2.1,589.275,815.1166666666667,40,watershed,40 IMG20260216081714 (1).jpg
34,0.245,0.5585,0.9759,0.4475,0.8886,0.7153,7.9,592.8571428571429,992.0204081632653,40,watershed,40 IMG20260216081714 (1).jpg
35,0.4,0.7136,0.9283,0.7099,0.6443,0.7656,100.4,614.71875,923.8125,40,watershed,40 IMG20260216081714 (1).jpg
36,0.265,0.5809,0.7294,0.5043,0.7225,0.876,19.8,616.6509433962265,375.2830188679245,40,watershed,40 IMG20260216081714 (1).jpg
37,0.12,0.3909,0.4379,0.3498,0.6014,0.96,8.5,617.2083333333334,628.25,40,watershed,40 IMG20260216081714 (1).jpg
38,0.25,0.5642,0.7015,0.4631,0.7512,0.9174,6.4,630.42,345.72,40,watershed,40 IMG20260216081714 (1).jpg
39,0.255,0.5698,0.6403,0.5325,0.5553,0.887,31.5,632.8235294117648,510.2647058823529,40,watershed,40 IMG20260216081714 (1).jpg
40,0.255,0.5698,0.8902,0.3905,0.8986,0.8644,11.1,640.0882352941177,441.15686274509807,40,watershed,40 IMG20260216081714 (1).jpg
41,0.62,0.8885,1.1926,0.748,0.7788,0.8239,17.6,655.7620967741935,766.3225806451613,40,watershed,40 IMG20260216081714 (1).jpg
42,0.2425,0.5557,0.7546,0.4226,0.8285,0.9065,14.6,661.5360824742268,551.6494845360825,40,watershed,40 IMG20260216081714 (1).jpg
43,0.29,0.6077,0.7251,0.5235,0.6919,0.9134,7.5,664.6379310344828,723.9741379310345,40,watershed,40 IMG20260216081714 (1).jpg
44,0.3425,0.6604,0.9921,0.4488,0.8918,0.9195,1.1,666.8905109489051,927.3211678832117,40,watershed,40 IMG20260216081714 (1).jpg
45,0.2575,0.5726,0.6452,0.5318,0.5661,0.8803,2.2,669.9029126213592,876.5728155339806,40,watershed,40 IMG20260216081714 (1).jpg
46,0.4425,0.7506,1.1061,0.5802,0.8514,0.7902,4.9,677.7570621468926,892.5028248587571,40,watershed,40 IMG20260216081714 (1).jpg
47,0.5075,0.8038,1.3401,0.703,0.8514,0.6424,19.8,685.9655172413793,543.6453201970444,40,watershed,40 IMG20260216081714 (1).jpg
48,0.505,0.8019,1.0119,0.7538,0.6672,0.8112,5.6,684.7425742574258,982.1237623762377,40,watershed,40 IMG20260216081714 (1).jpg
49,0.225,0.5352,0.6751,0.4576,0.7352,0.9,3.8,686.7,490.73333333333335,40,watershed,40 IMG20260216081714 (1).jpg
50,0.1875,0.4886,0.5901,0.4198,0.7028,0.8523,29.4,690.3333333333334,327.2133333333333,40,watershed,40 IMG20260216081714 (1).jpg
51,0.1425,0.426,0.4748,0.3908,0.568,0.9661,6.2,688.438596491228,370.859649122807,40,watershed,40 IMG20260216081714 (1).jpg
52,0.1675,0.4618,0.5368,0.4144,0.6356,0.8933,11.3,700.0,861.2388059701492,40,watershed,40 IMG20260216081714 (1).jpg
53,0.605,0.8777,0.9964,0.7924,0.6062,0.938,0.4,703.2107438016529,924.1735537190083,40,watershed,40 IMG20260216081714 (1).jpg
54,0.6175,0.8867,1.3414,0.6411,0.8784,0.7891,3.5,701.8744939271255,947.0364372469636,40,watershed,40 IMG20260216081714 (1).jpg
55,0.44,0.7485,0.8287,0.6983,0.5385,0.9312,6.3,706.0170454545455,717.6534090909091,40,watershed,40 IMG20260216081714 (1).jpg
56,0.1725,0.4687,0.6035,0.3785,0.7789,0.9324,10.0,704.3913043478261,692.4492753623189,40,watershed,40 IMG20260216081714 (1).jpg
57,0.28,0.5971,0.7122,0.5115,0.6958,0.9256,0.7,717.4821428571429,931.9732142857143,40,watershed,40 IMG20260216081714 (1).jpg
58,0.2725,0.589,0.696,0.5075,0.6843,0.9478,6.4,721.8623853211009,354.25688073394497,40,watershed,40 IMG20260216081714 (1).jpg
59,0.6575,0.915,1.4924,0.5929,0.9177,0.8885,2.7,731.1368821292775,620.5513307984791,40,watershed,40 IMG20260216081714 (1).jpg
60,0.2875,0.605,1.0793,0.3759,0.9374,0.8519,2.2,727.104347826087,859.6434782608695,40,watershed,40 IMG20260216081714 (1).jpg
61,0.19,0.4918,0.5209,0.4844,0.3676,0.8941,3.2,724.8947368421053,992.4078947368421,40,watershed,40 IMG20260216081714 (1).jpg
62,0.3825,0.6979,0.8309,0.6529,0.6186,0.827,2.4,728.1307189542483,888.1372549019608,40,watershed,40 IMG20260216081714 (1).jpg
63,0.105,0.3656,0.4423,0.3535,0.601,0.7925,7.8,730.9761904761905,986.3571428571429,40,watershed,40 IMG20260216081714 (1).jpg
64,0.17,0.4652,0.5802,0.3833,0.7506,0.9315,1.0,735.6911764705883,968.9117647058823,40,watershed,40 IMG20260216081714 (1).jpg
65,0.25,0.5642,0.7235,0.4558,0.7766,0.8929,2.3,739.64,885.99,40,watershed,40 IMG20260216081714 (1).jpg
66,0.3075,0.6257,0.8471,0.5124,0.7963,0.8311,8.0,742.8048780487804,588.3170731707318,40,watershed,40 IMG20260216081714 (1).jpg
67,0.34,0.658,0.7631,0.6041,0.611,0.8774,3.3,743.3529411764706,859.5367647058823,40,watershed,40 IMG20260216081714 (1).jpg
68,0.1525,0.4406,0.4953,0.3948,0.604,0.9242,9.0,745.311475409836,709.2950819672132,40,watershed,40 IMG20260216081714 (1).jpg
69,0.4875,0.7878,1.345,0.7304,0.8397,0.6866,5.1,745.4769230769231,751.974358974359,40,watershed,40 IMG20260216081714 (1).jpg
70,0.1725,0.4687,0.6737,0.3682,0.8374,0.8415,6.0,749.1739130434783,886.3188405797101,40,watershed,40 IMG20260216081714 (1).jpg
