label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,0.065,0.2877,0.4513,0.1902,0.9068,0.9286,147.7,2.1923076923076925,365.0769230769231,40,watershed,setting40-1.jpg
15,0.2,0.5046,0.546,0.4837,0.4637,0.9302,14.5,293.6875,498.6125,40,watershed,setting40-1.jpg
16,0.4825,0.7838,0.9977,0.6198,0.7836,0.9461,4.5,344.63212435233163,836.6528497409327,40,watershed,setting40-1.jpg
21,0.6675,0.9219,1.1941,0.7262,0.7938,0.9144,4.1,396.68913857677904,472.13483146067415,40,watershed,setting40-1.jpg
22,0.5075,0.8038,1.131,0.6071,0.8437,0.9062,2.9,416.95073891625617,495.38916256157637,40,watershed,setting40-1.jpg
23,1.7875,1.5086,1.9219,1.3959,0.6874,0.7738,2.7,450.73846153846154,362.12447552447554,40,watershed,setting40-1.jpg
24,0.7475,0.9756,1.1238,0.9492,0.5354,0.8543,2.1,496.0133779264214,1041.438127090301,40,watershed,setting40-1.jpg
25,0.0875,0.3338,0.3772,0.3055,0.5863,0.9211,5.4,490.77142857142854,841.0,40,watershed,setting40-1.jpg
26,0.5575,0.8425,1.0616,0.6805,0.7675,0.9449,1.3,501.9506726457399,847.6367713004485,40,watershed,setting40-1.jpg
27,0.215,0.5232,0.611,0.4508,0.675,0.9556,5.3,502.2325581395349,304.1046511627907,40,watershed,setting40-1.jpg
28,0.615,0.8849,1.136,0.6973,0.7894,0.9283,3.8,506.5040650406504,1090.1056910569105,40,watershed,setting40-1.jpg
29,0.235,0.547,0.6168,0.5048,0.5747,0.9216,18.2,516.5744680851063,1131.212765957447,40,watershed,setting40-1.jpg
30,0.915,1.0794,1.1711,1.0146,0.4995,0.9457,2.1,549.8497267759562,1023.4972677595629,40,watershed,setting40-1.jpg
31,0.265,0.5809,0.7908,0.4307,0.8387,0.9464,7.8,554.0377358490566,1088.2735849056603,40,watershed,setting40-1.jpg
32,0.3125,0.6308,0.733,0.5808,0.61,0.8803,2.1,561.008,807.152,40,watershed,setting40-1.jpg
33,0.3025,0.6206,0.6767,0.5815,0.5116,0.9603,2.5,564.6280991735537,700.4462809917355,40,watershed,setting40-1.jpg
34,0.4775,0.7797,1.3983,0.456,0.9453,0.8414,5.9,576.2565445026178,501.6282722513089,40,watershed,setting40-1.jpg
35,0.5525,0.8387,1.3451,0.5421,0.9152,0.8984,19.7,591.4027149321267,447.4027149321267,40,watershed,setting40-1.jpg
36,0.1825,0.482,0.5903,0.3982,0.7382,0.9241,1.6,584.054794520548,1010.4109589041096,40,watershed,setting40-1.jpg
37,0.335,0.6531,0.8443,0.5335,0.7751,0.8701,2.4,586.044776119403,1099.902985074627,40,watershed,setting40-1.jpg
38,0.3,0.618,0.8756,0.459,0.8516,0.916,1.9,589.275,815.1166666666667,40,watershed,setting40-1.jpg
39,0.245,0.5585,0.967,0.4504,0.8849,0.7206,7.4,592.8265306122449,991.9795918367347,40,watershed,setting40-1.jpg
40,0.3875,0.7024,0.9057,0.7131,0.6165,0.7561,99.2,614.6516129032258,923.8451612903226,40,watershed,setting40-1.jpg
41,0.27,0.5863,0.7284,0.5129,0.7101,0.8571,20.5,616.8425925925926,375.1574074074074,40,watershed,setting40-1.jpg
42,0.1175,0.3868,0.4376,0.3442,0.6176,0.94,7.3,617.2553191489362,628.1914893617021,40,watershed,setting40-1.jpg
43,0.25,0.5642,0.6969,0.4656,0.744,0.9524,5.8,630.54,345.62,40,watershed,setting40-1.jpg
44,0.245,0.5585,0.631,0.5234,0.5585,0.8829,30.2,633.0,510.18367346938777,40,watershed,setting40-1.jpg
45,0.255,0.5698,0.8722,0.3966,0.8906,0.8644,11.1,640.1666666666666,441.0686274509804,40,watershed,setting40-1.jpg
46,0.63,0.8956,1.2129,0.7499,0.786,0.8208,18.4,655.6706349206349,766.265873015873,40,watershed,setting40-1.jpg
47,0.245,0.5585,0.767,0.4206,0.8363,0.9159,14.4,661.5204081632653,551.5714285714286,40,watershed,setting40-1.jpg
48,0.2875,0.605,0.7157,0.5257,0.6786,0.9055,7.1,664.6347826086957,723.9565217391304,40,watershed,setting40-1.jpg
49,0.345,0.6628,0.9888,0.4527,0.889,0.92,1.2,666.8695652173913,927.2971014492754,40,watershed,setting40-1.jpg
50,0.2575,0.5726,0.6452,0.5318,0.5661,0.8803,1.7,669.9029126213592,876.5728155339806,40,watershed,setting40-1.jpg
51,0.4425,0.7506,1.104,0.5843,0.8485,0.7902,5.4,677.7118644067797,892.3785310734463,40,watershed,setting40-1.jpg
52,0.5075,0.8038,1.3047,0.7051,0.8414,0.6364,18.9,685.6699507389162,543.5024630541872,40,watershed,setting40-1.jpg
53,0.5,0.7979,1.019,0.7449,0.6824,0.8065,5.1,684.68,981.975,40,watershed,setting40-1.jpg
54,0.2225,0.5323,0.6802,0.446,0.7551,0.9271,2.9,686.7977528089888,490.5842696629214,40,watershed,setting40-1.jpg
55,0.19,0.4918,0.5795,0.4296,0.6711,0.8636,30.2,690.3157894736842,327.0921052631579,40,watershed,setting40-1.jpg
56,0.14,0.4222,0.469,0.3918,0.5496,0.9655,5.2,688.4821428571429,370.80357142857144,40,watershed,setting40-1.jpg
