image,grind_setting,model,n_particles,median_diameter_mm,mean_diameter_mm,std_diameter_mm,q25_diameter_mm,q75_diameter_mm,total_area_mm2,D10,D50,D90,span,fines_pct,boulders_pct,D_4_3,D_3_2
setting20-1.jpg,20,watershed,432,0.4478,0.4848,0.1707,0.3656,0.5557,89.615,0.3192,0.4478,0.7092,0.871,0.2,1.4,0.7046,0.6187
setting20-2.jpg,20,watershed,680,0.4951,0.5285,0.177,0.4107,0.605,165.865,0.3523,0.4951,0.7632,0.83,0.4,2.4,0.7441,0.6598
setting20-3.jpg,20,watershed,258,0.4316,0.4551,0.1576,0.3385,0.5352,46.98,0.2932,0.4316,0.6338,0.789,1.9,0.4,0.644,0.5715
setting20-4.jpg,20,watershed,604,0.4478,0.4851,0.1836,0.3613,0.5836,127.6025,0.2932,0.4478,0.7203,0.954,2.8,1.5,0.7052,0.6284
setting40-1.jpg,40,watershed,195,0.6408,0.6773,0.2236,0.5109,0.8234,77.875,0.437,0.6408,0.971,0.833,0.5,7.7,0.9014,0.826
setting40-2.jpg,40,watershed,236,0.6782,0.7321,0.2403,0.5691,0.8593,109.995,0.4902,0.6782,1.057,0.836,0.0,13.1,0.9898,0.8974
setting40-3.jpg,40,watershed,244,0.677,0.712,0.265,0.5521,0.8486,110.5575,0.4464,0.677,1.0662,0.915,3.3,12.7,1.0145,0.9077
setting40-4.jpg,40,watershed,264,0.7047,0.7608,0.2619,0.5719,0.8844,134.1725,0.4886,0.7047,1.1544,0.945,0.8,16.7,1.0366,0.9443
setting60-1.jpg,60,watershed,183,0.8253,0.8632,0.3056,0.6168,1.0132,120.455,0.5274,0.8253,1.2861,0.919,0.0,27.3,1.1933,1.0832
setting60-2.jpg,60,watershed,144,0.8538,0.9167,0.2766,0.7081,1.0698,103.6425,0.6214,0.8538,1.2907,0.784,0.0,33.3,1.184,1.09
setting60-3.jpg,60,watershed,163,0.7756,0.8416,0.3137,0.618,1.0132,103.2,0.4931,0.7756,1.2582,0.987,0.6,26.4,1.2083,1.0804
setting60-4.jpg,60,watershed,114,0.9193,0.9664,0.3329,0.7366,1.1895,93.4525,0.5941,0.9193,1.3904,0.866,0.9,40.4,1.3071,1.1917
setting80-1.jpg,80,watershed,138,1.0555,1.1049,0.3507,0.8658,1.3258,145.565,0.7168,1.0555,1.5376,0.778,0.7,57.2,1.4245,1.3202
setting80-2.jpg,80,watershed,133,1.0808,1.1486,0.3562,0.9115,1.3147,150.965,0.7862,1.0808,1.6677,0.816,0.0,58.6,1.5167,1.3819
setting80-3.jpg,80,watershed,110,1.0441,1.1378,0.3997,0.8219,1.4071,125.5175,0.6903,1.0441,1.6568,0.926,0.0,55.5,1.5766,1.4252
setting80-4.jpg,80,watershed,103,1.0495,1.1251,0.3625,0.8965,1.2634,112.925,0.7822,1.0495,1.713,0.887,0.0,54.4,1.4894,1.3641
