label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,0.56,0.8444,1.1013,0.6583,0.8017,0.9532,60.9,71.67410714285714,594.6071428571429,20,watershed,setting20.jpg
2,0.3725,0.6887,0.9045,0.5348,0.8065,0.9371,39.0,204.26174496644296,489.7718120805369,20,watershed,setting20.jpg
3,0.645,0.9062,1.1939,0.7007,0.8096,0.9149,55.9,214.43410852713177,835.8255813953489,20,watershed,setting20.jpg
4,0.06,0.2764,0.3173,0.24,0.6541,0.96,25.8,208.70833333333334,516.5,20,watershed,setting20.jpg
5,0.84,1.0342,2.0214,0.6127,0.953,0.7962,138.3,219.30059523809524,921.0863095238095,20,watershed,setting20.jpg
6,0.2375,0.5499,0.8353,0.384,0.8881,0.9223,30.7,228.31578947368422,1026.3894736842105,20,watershed,setting20.jpg
7,0.3025,0.6206,0.7902,0.4909,0.7836,0.9453,50.9,240.8181818181818,468.0495867768595,20,watershed,setting20.jpg
8,0.575,0.8556,1.1127,0.6911,0.7837,0.8915,59.0,243.7608695652174,684.6826086956522,20,watershed,setting20.jpg
9,0.2,0.5046,0.7609,0.3493,0.8884,0.8602,38.3,261.225,731.025,20,watershed,setting20.jpg
10,0.1075,0.37,0.727,0.2199,0.9532,0.8431,99.0,272.6744186046512,413.4651162790698,20,watershed,setting20.jpg
11,0.1925,0.4951,0.5915,0.4257,0.6942,0.939,34.9,285.76623376623377,905.6883116883117,20,watershed,setting20.jpg
12,0.1975,0.5015,0.815,0.3235,0.9178,0.8495,46.9,313.67088607594934,817.0126582278481,20,watershed,setting20.jpg
13,0.07,0.2985,0.3917,0.2308,0.8079,0.9032,43.9,316.39285714285717,399.0,20,watershed,setting20.jpg
14,0.1875,0.4886,0.6381,0.3848,0.7977,0.9494,14.8,322.32,867.9333333333333,20,watershed,setting20.jpg
15,0.1425,0.426,0.7197,0.2604,0.9322,0.8636,33.1,327.82456140350877,906.7543859649123,20,watershed,setting20.jpg
16,0.655,0.9132,1.3554,0.6324,0.8845,0.9066,71.0,337.118320610687,639.3282442748092,20,watershed,setting20.jpg
17,0.26,0.5754,0.8312,0.4038,0.8741,0.9043,93.4,337.36538461538464,382.3076923076923,20,watershed,setting20.jpg
18,0.105,0.3656,0.4911,0.2842,0.8156,0.8936,4.5,333.45238095238096,853.9047619047619,20,watershed,setting20.jpg
19,0.3425,0.6604,1.1094,0.4209,0.9252,0.8354,64.1,341.3941605839416,1000.8321167883212,20,watershed,setting20.jpg
20,0.0475,0.2459,0.3764,0.2007,0.8459,0.7917,86.3,340.10526315789474,852.421052631579,20,watershed,setting20.jpg
21,0.06,0.2764,0.3157,0.2545,0.5915,0.9231,2.6,338.3333333333333,878.1666666666666,20,watershed,setting20.jpg
22,0.0125,0.1262,0.1549,0.0894,0.8165,1.0,12.4,342.2,877.4,20,watershed,setting20.jpg
23,0.5625,0.8463,1.2283,0.6281,0.8594,0.9146,24.4,350.84444444444443,956.5422222222222,20,watershed,setting20.jpg
24,0.11,0.3742,0.4891,0.295,0.7977,0.8302,23.4,352.02272727272725,934.9545454545455,20,watershed,setting20.jpg
25,0.1275,0.4029,0.6729,0.3002,0.895,0.7286,36.2,365.80392156862746,715.3921568627451,20,watershed,setting20.jpg
26,0.695,0.9407,1.729,0.5994,0.938,0.7637,57.3,374.4352517985611,1119.6043165467627,20,watershed,setting20.jpg
27,1.055,1.159,1.7508,0.8137,0.8854,0.8612,46.5,380.59952606635073,502.18483412322274,20,watershed,setting20.jpg
28,0.085,0.329,0.4548,0.2673,0.8091,0.8293,35.4,369.6764705882353,869.2941176470588,20,watershed,setting20.jpg
29,0.0725,0.3038,0.4862,0.2844,0.8111,0.7073,90.9,372.9310344827586,1148.8275862068965,20,watershed,setting20.jpg
30,0.2475,0.5614,0.7084,0.4949,0.7155,0.8684,47.6,377.55555555555554,479.4141414141414,20,watershed,setting20.jpg
31,0.19,0.4918,0.6032,0.4317,0.6984,0.9048,29.8,385.35526315789474,697.0263157894736,20,watershed,setting20.jpg
32,0.315,0.6333,0.812,0.5074,0.7807,0.913,48.9,386.57142857142856,723.1587301587301,20,watershed,setting20.jpg
33,0.18,0.4787,0.7625,0.3186,0.9085,0.8675,35.0,386.4166666666667,572.875,20,watershed,setting20.jpg
34,0.14,0.4222,0.6392,0.2985,0.8843,0.8889,35.6,396.75,519.1785714285714,20,watershed,setting20.jpg
35,0.5125,0.8078,1.0916,0.6199,0.8231,0.9111,20.8,405.09268292682924,876.2536585365854,20,watershed,setting20.jpg
36,0.76,0.9837,2.1103,0.5527,0.9651,0.658,60.5,416.4703947368421,687.7532894736842,20,watershed,setting20.jpg
37,0.075,0.309,0.4226,0.2305,0.8382,0.8824,10.7,409.46666666666664,655.7,20,watershed,setting20.jpg
38,0.495,0.7939,0.9798,0.7023,0.6973,0.8571,39.4,414.949494949495,1311.7222222222222,20,watershed,setting20.jpg
39,0.225,0.5352,0.8862,0.3389,0.924,0.8911,30.6,416.1222222222222,381.02222222222224,20,watershed,setting20.jpg
40,0.1075,0.37,0.4637,0.2956,0.7705,0.9773,7.7,414.6046511627907,185.51162790697674,20,watershed,setting20.jpg
41,0.3475,0.6652,0.8134,0.5532,0.7331,0.9392,8.6,418.0,210.5251798561151,20,watershed,setting20.jpg
42,0.3125,0.6308,0.8113,0.5124,0.7753,0.8741,21.3,424.272,814.648,20,watershed,setting20.jpg
43,0.03,0.1954,0.2609,0.158,0.7958,0.8571,134.5,422.25,184.83333333333334,20,watershed,setting20.jpg
44,0.34,0.658,0.7496,0.6283,0.5454,0.8553,88.2,424.7647058823529,330.66911764705884,20,watershed,setting20.jpg
45,0.39,0.7047,0.8957,0.6097,0.7326,0.8864,13.2,425.6923076923077,1148.1666666666667,20,watershed,setting20.jpg
46,0.0875,0.3338,0.481,0.229,0.8794,0.9459,20.8,425.0857142857143,750.8857142857142,20,watershed,setting20.jpg
47,0.13,0.4068,0.5972,0.3024,0.8623,0.8667,16.4,431.2307692307692,1174.8846153846155,20,watershed,setting20.jpg
48,0.525,0.8176,1.1505,0.5851,0.861,0.9502,6.9,446.1333333333333,1222.104761904762,20,watershed,setting20.jpg
49,0.31,0.6283,0.8632,0.4689,0.8396,0.8986,68.3,447.93548387096774,346.33870967741933,20,watershed,setting20.jpg
50,0.16,0.4514,0.5491,0.4585,0.5503,0.7529,97.4,443.4375,393.21875,20,watershed,setting20.jpg
